# ID ArriveeSysteme TempsPresence SortieSysteme
1 849,339498 6,592956 855,932454
2 3039,446655 8,645308 3048,091963
3 3245,160780 31,100452 3276,261233
4 4009,096799 22,337291 4031,434091
5 4181,528717 18,534570 4200,063287
6 4625,008789 22,143591 4647,152380
9 4749,441017 1,409793 4750,850810
10 4768,702001 24,008973 4792,710974
7 4636,297848 514,349394 5150,647242
8 4690,569908 493,541537 5184,111446
11 5599,689620 75,428379 5675,118000
12 5866,001156 13,540552 5879,541708
13 5975,910101 106,586490 6082,496591
14 6442,129690 18,692263 6460,821953
15 6681,110288 3,159128 6684,269416
16 7061,589828 47,259835 7108,849663
17 7409,097521 679,116158 8088,213679
18 8297,177513 501,754664 8798,932177
19 10929,818533 0,726849 10930,545382
20 12782,081143 22,622212 12804,703354
21 12866,626911 15,253812 12881,880722
22 13185,982726 25,938747 13211,921472
23 13236,539766 210,915439 13447,455204
24 13506,816347 8,735441 13515,551787
25 13633,391574 23,676015 13657,067589
26 13770,752268 21,750220 13792,502488
27 14457,368725 4,564391 14461,933116
28 14952,835896 3,815437 14956,651333
29 15362,509023 240,312517 15602,821540
30 15681,922735 147,998841 15829,921576
31 16258,963784 291,279332 16550,243116
32 16612,246623 3,373730 16615,620353
33 18434,141606 1,753174 18435,894780
34 19102,802887 129,106564 19231,909451
35 19570,502119 8,364081 19578,866200
36 20006,424116 44,023762 20050,447877
37 20740,321235 20,320761 20760,641996
38 20814,054856 18,742130 20832,796986
39 21311,862634 2,084904 21313,947538
40 23064,367723 151,144088 23215,511811
41 23255,403603 149,263368 23404,666971
42 24963,780001 3,851026 24967,631027
43 25137,932477 148,219702 25286,152179
44 25736,638251 32,568413 25769,206663
45 25738,161680 307,853673 26046,015353
46 27211,027332 152,131426 27363,158758
47 28115,096929 0,116993 28115,213922
48 28894,311122 65,622746 28959,933869
50 29207,655273 47,610081 29255,265355
49 29114,708136 699,558700 29814,266835
