# ID ArriveeSysteme TempsPresence SortieSysteme
1 85.623095 0.994696 86.617792
2 517.639193 2.723078 520.362271
4 691.476591 9.211752 700.688343
3 681.495059 39.424520 720.919579
5 1199.597429 220.876575 1420.474004
6 1725.764707 1.251846 1727.016554
7 2734.629772 127.159993 2861.789765
8 3144.603908 4.359701 3148.963608
9 3486.401639 3.873632 3490.275270
10 3574.283307 209.530093 3783.813400
11 4050.448940 20.582883 4071.031822
12 4093.440623 83.275722 4176.716345
13 4801.738157 4.015514 4805.753670
14 5576.989721 2.140777 5579.130498
15 6255.566829 139.475966 6395.042795
17 6624.280244 2.761936 6627.042179
16 6349.453075 498.671798 6848.124872
18 6824.651477 229.422716 7054.074193
19 7235.176700 80.519781 7315.696481
20 7938.857719 93.938749 8032.796468
21 8471.343558 6.293166 8477.636724
22 9133.985810 1.635599 9135.621409
23 10200.291264 26.465721 10226.756985
24 10739.905104 105.662996 10845.568100
25 12435.692637 3.263279 12438.955916
26 14250.648850 29.802768 14280.451619
27 14542.543632 169.527551 14712.071183
28 16414.317763 256.135138 16670.452901
29 17428.628892 4.654920 17433.283812
30 17711.605613 208.173567 17919.779180
32 18069.732357 420.220703 18489.953060
31 17886.226259 857.159553 18743.385812
33 18520.363296 753.589850 19273.953147
34 20052.485404 464.439984 20516.925388
35 20591.627661 9.311948 20600.939609
36 21202.499893 13.060069 21215.559963
37 21419.324435 1.778639 21421.103074
38 21813.527333 1.668681 21815.196014
39 21843.465936 234.903232 22078.369169
41 22110.306464 770.680683 22880.987147
40 22085.165398 999.149139 23084.314537
42 23151.014369 5.016281 23156.030650
43 23170.174428 5.494741 23175.669169
44 23285.322967 2.719600 23288.042567
45 23301.478188 1.980135 23303.458323
46 23601.297599 17.336206 23618.633804
47 24571.635575 122.069189 24693.704764
48 25161.156998 4.166795 25165.323793
50 25562.221993 3.377264 25565.599257
51 25618.390106 1.032102 25619.422208
49 25327.686897 448.945295 25776.632192
52 27956.794797 2.735167 27959.529964
53 28514.572004 0.755827 28515.327831
54 28522.674926 92.853816 28615.528742
55 28668.950857 11.235662 28680.186519
56 29008.335871 62.024359 29070.360231
57 29322.623218 186.655442 29509.278660
58 30536.446423 25.561624 30562.008047
59 31640.155269 1.670662 31641.825931
60 34176.548834 3.274726 34179.823560
61 34469.250748 45.749088 34514.999836
62 36568.642530 4.714026 36573.356556
64 37676.510562 1.091253 37677.601816
65 37993.725715 188.008751 38181.734467
63 37637.808000 828.925880 38466.733879
66 39124.331053 99.275518 39223.606571
67 39257.555269 2.529035 39260.084303
68 40269.916819 22.061529 40291.978348
69 40741.082472 61.189432 40802.271903
70 40801.230515 9.163836 40810.394351
71 41662.807437 14.665183 41677.472620
72 42130.296038 333.005834 42463.301871
73 42741.482028 106.845650 42848.327678
77 43586.323647 14.940410 43601.264057
76 43378.465058 614.547232 43993.012290
78 44070.677885 6.985238 44077.663124
74 42743.074081 2154.000954 44897.075035
75 42833.928995 2140.439439 44974.368434
79 45240.696321 19.702423 45260.398743
80 45627.402122 4.953324 45632.355446
81 47197.859998 0.154386 47198.014384
83 48635.829384 47.839850 48683.669234
82 48626.895083 69.916317 48696.811400
84 48695.217501 108.920832 48804.138333
85 49643.798736 37.498872 49681.297609
