# ID ArriveeSysteme TempsPresence SortieSysteme
1 1118.995813 8.022940 1127.018753
2 1218.971877 5.093044 1224.064921
3 1801.495222 32.760787 1834.256009
4 2302.807797 1.447837 2304.255634
5 2340.660992 9.675819 2350.336811
6 2443.286531 2.377844 2445.664375
8 2890.809938 0.807348 2891.617286
7 2566.265694 364.665126 2930.930820
9 4341.666232 113.640410 4455.306642
10 5154.431916 0.017975 5154.449890
11 6161.587386 5.687417 6167.274803
13 7023.831791 13.472789 7037.304580
14 7043.848591 10.797574 7054.646165
12 6374.608125 992.318009 7366.926134
15 8274.294095 70.559004 8344.853099
16 8527.930475 754.658541 9282.589016
17 9260.923848 303.789062 9564.712910
18 10342.457586 1.184813 10343.642399
19 10403.911120 0.167141 10404.078261
21 10736.226834 9.717014 10745.943848
20 10696.230574 310.863812 11007.094386
22 11427.445767 11.123230 11438.568997
23 12108.557590 82.475117 12191.032707
24 13582.317091 829.648974 14411.966065
25 14781.279711 27.164876 14808.444586
26 15133.158176 14.192300 15147.350476
27 15784.472112 0.679822 15785.151934
28 16161.941823 751.078589 16913.020412
29 17256.841083 324.668160 17581.509242
32 18013.228905 308.765714 18321.994619
30 17946.377290 684.145931 18630.523220
31 17947.989966 1355.219851 19303.209817
33 19636.122824 0.441656 19636.564479
34 19810.987363 299.333728 20110.321091
35 20255.717315 0.399820 20256.117135
36 21098.961359 29.507648 21128.469007
38 21359.977378 12.624800 21372.602178
37 21180.625049 433.866891 21614.491941
39 22491.481745 325.746954 22817.228699
41 22825.021443 3.198187 22828.219630
42 22852.054584 14.555973 22866.610557
40 22608.460099 652.858975 23261.319074
43 23722.459418 0.280006 23722.739423
44 23869.003920 30.473122 23899.477042
45 25061.986024 2.616276 25064.602300
47 26917.288824 0.590555 26917.879379
48 27039.838794 26.391912 27066.230706
49 27131.225027 528.962632 27660.187658
51 28163.251944 209.495031 28372.746975
52 28572.753724 18.215947 28590.969671
50 27888.990574 1022.572913 28911.563487
53 28728.721800 227.876544 28956.598344
46 26415.860602 2827.684101 29243.544703
54 28837.432251 1356.935229 30194.367480
55 30254.772641 16.100795 30270.873436
56 30356.694374 10.656430 30367.350804
57 30651.298661 5.821105 30657.119767
58 31909.716161 0.705556 31910.421717
59 32446.532611 1218.802962 33665.335572
60 33448.677131 225.590390 33674.267520
61 34726.587636 342.825200 35069.412837
62 35942.514714 9.299121 35951.813835
64 36296.632631 1.515225 36298.147856
65 36584.995818 1.431579 36586.427397
63 36112.612874 582.957141 36695.570015
66 38584.666275 202.217678 38786.883953
68 39109.281633 3.968261 39113.249894
67 38996.894154 297.335448 39294.229602
69 39565.835509 458.306879 40024.142388
70 41136.276642 1.635272 41137.911914
71 41432.988995 156.535010 41589.524005
72 42133.295608 247.114841 42380.410450
74 42179.667399 598.742370 42778.409769
73 42148.601161 911.148699 43059.749861
75 43416.135848 276.721173 43692.857021
77 43845.220505 23.434937 43868.655442
76 43782.504783 292.118811 44074.623594
79 44612.419688 2.617670 44615.037358
78 44537.577027 133.310541 44670.887568
81 45416.601507 369.832452 45786.433959
80 45329.525412 781.434965 46110.960377
83 47078.929902 15.354343 47094.284246
84 47260.930495 60.421913 47321.352407
82 46608.332649 730.427748 47338.760397
85 47450.591738 141.309580 47591.901319
87 47825.996626 11.959468 47837.956094
86 47697.260356 235.689058 47932.949414
88 48551.821654 466.035026 49017.856680
89 49973.002621 0.745521 49973.748142
