# ID ArriveeSysteme TempsPresence SortieSysteme
2 362.703496 4.223955 366.927451
4 558.264584 13.901965 572.166549
5 645.647615 0.124098 645.771713
7 794.892055 0.083185 794.975240
8 1083.790599 4.446343 1088.236943
1 223.342845 1029.242814 1252.585659
11 1454.965292 7.286039 1462.251331
12 1629.872856 1.624975 1631.497831
6 776.914084 891.241510 1668.155594
13 1713.937157 3.448342 1717.385498
9 1148.640696 843.789268 1992.429964
10 1172.517414 951.648376 2124.165790
14 1846.024952 466.226024 2312.250976
16 2311.644266 6.215818 2317.860083
15 2067.027429 457.122746 2524.150175
17 2619.143158 1.419350 2620.562508
3 383.095298 2371.703733 2754.799031
18 2824.382701 6.586190 2830.968890
19 2990.417479 8.860328 2999.277807
20 3030.939363 5.705866 3036.645229
21 3219.930101 310.146419 3530.076520
22 3859.766552 9.985763 3869.752315
23 3908.838689 61.331686 3970.170375
24 4108.914088 1.447973 4110.362061
25 4422.460590 9.781317 4432.241907
26 4680.242609 4.979207 4685.221816
27 4715.848503 64.811032 4780.659535
28 4784.060849 111.916289 4895.977139
30 5099.628495 7.632279 5107.260774
33 5326.615265 6.202324 5332.817589
29 5028.812503 450.141802 5478.954305
34 5705.213561 14.654000 5719.867562
32 5315.355835 427.115657 5742.471492
37 5955.190334 0.100537 5955.290871
35 5885.846307 183.792456 6069.638763
38 6191.930217 1.893132 6193.823349
31 5241.133921 1016.105009 6257.238931
39 6231.774363 96.065278 6327.839642
36 5923.001679 407.746960 6330.748640
42 6486.606598 25.880039 6512.486638
43 6486.729354 36.505888 6523.235241
41 6406.781521 317.386867 6724.168388
45 6877.036044 5.833186 6882.869230
48 7143.297564 4.403419 7147.700983
44 6606.585177 716.472631 7323.057807
40 6383.951099 1159.246495 7543.197595
50 7555.213962 4.299122 7559.513084
51 7557.255410 4.546227 7561.801636
57 8095.974947 24.309661 8120.284609
59 8463.293820 16.107939 8479.401759
60 8544.046250 11.602759 8555.649008
53 7649.541414 960.529297 8610.070711
61 8618.868871 1.470441 8620.339312
63 8627.420383 8.093834 8635.514217
54 7730.485721 949.851609 8680.337331
55 7794.422201 966.400152 8760.822353
66 8933.411703 30.268880 8963.680583
56 7998.313881 1090.727894 9089.041774
68 9325.253625 24.176623 9349.430248
69 9439.204835 6.172454 9445.377289
52 7640.818774 1994.089674 9634.908448
71 9750.781478 7.742197 9758.523674
65 8817.778790 1302.791383 10120.570173
47 7053.152094 3205.447854 10258.599948
67 9244.573344 1059.014507 10303.587851
49 7304.370569 3294.810320 10599.180889
58 8441.914919 2226.431235 10668.346154
77 10906.925321 17.912552 10924.837873
78 11121.958544 5.493236 11127.451780
72 9909.322656 1308.546065 11217.868721
62 8620.312490 2663.922958 11284.235447
64 8677.484301 2650.437001 11327.921303
81 11463.679012 30.660405 11494.339417
73 10541.190486 969.509817 11510.700302
83 11602.905488 1.758664 11604.664153
84 11960.726895 11.368857 11972.095753
85 11962.628190 32.372284 11995.000474
86 12002.069356 9.740975 12011.810331
70 9700.902797 2600.104722 12301.007519
79 11304.330063 1110.133482 12414.463545
89 12560.173714 4.715415 12564.889129
80 11330.583852 1299.789264 12630.373115
91 12839.459195 11.055639 12850.514834
82 11533.887560 1401.797302 12935.684863
92 12902.453582 35.986482 12938.440064
74 10554.849487 2465.530694 13020.380180
75 10742.252957 2280.478320 13022.731277
95 13114.765674 0.196303 13114.961977
103 13513.537242 6.864528 13520.401770
46 6891.331760 6903.583463 13794.915223
104 13784.487887 26.169286 13810.657173
106 13824.505389 8.287838 13832.793227
108 13878.462600 31.060573 13909.523174
109 13945.392681 3.651409 13949.044090
110 13982.130355 5.017885 13987.148241
111 14020.035416 12.418283 14032.453699
113 14097.062529 3.387555 14100.450083
114 14231.832382 1.923369 14233.755751
115 14287.685353 4.226733 14291.912085
116 14343.584814 25.710973 14369.295787
94 12977.996320 1599.135623 14577.131943
118 14686.696374 3.909968 14690.606342
76 10872.317315 3842.381200 14714.698515
87 12282.961056 2619.727353 14902.688409
119 14908.004538 7.318735 14915.323273
121 14977.376213 2.617893 14979.994107
98 13232.991709 2009.852501 15242.844210
99 13330.216283 1964.733698 15294.949980
123 15351.642897 15.942182 15367.585078
125 15706.907434 1.861409 15708.768843
88 12547.304174 3298.085340 15845.389513
112 14022.519899 1837.821960 15860.341858
90 12700.950532 3176.571924 15877.522456
127 15868.657616 14.993017 15883.650633
117 14650.532464 1493.727054 16144.259518
128 16142.869553 4.570709 16147.440262
131 16353.336469 6.473056 16359.809524
101 13424.929596 3120.466375 16545.395970
132 16530.158201 16.066341 16546.224542
133 16678.071404 0.071338 16678.142742
134 16682.624205 1.685661 16684.309866
102 13425.255060 3299.204232 16724.459291
137 16804.310370 16.522684 16820.833054
140 16936.788019 17.676821 16954.464840
142 17000.032920 38.341447 17038.374366
143 17238.875473 8.070825 17246.946298
146 17590.917625 8.612233 17599.529858
147 17741.661794 11.561738 17753.223532
149 17849.480897 14.445967 17863.926865
150 17868.650221 29.744231 17898.394451
153 18026.832299 11.036271 18037.868571
154 18068.267200 8.571856 18076.839056
120 14923.027445 3174.272736 18097.300181
96 13170.961806 4959.708640 18130.670446
158 18282.825499 0.996540 18283.822039
159 18409.289962 3.420279 18412.710241
160 18438.898956 1.377812 18440.276769
162 18640.244430 0.778246 18641.022676
124 15460.025828 3294.159945 18754.185773
135 16705.595578 2121.474623 18827.070200
136 16762.312980 2091.778138 18854.091118
141 16954.749834 2374.516247 19329.266081
105 13813.418419 5516.682757 19330.101176
126 15842.442234 3562.745672 19405.187907
145 17346.035022 2146.640451 19492.675474
167 19895.797466 22.380763 19918.178229
168 20004.783906 15.670078 20020.453984
169 20028.915233 9.397687 20038.312921
171 20073.430702 1.602288 20075.032990
129 16193.374185 4069.687149 20263.061334
155 18103.976097 2345.008704 20448.984801
173 20648.905436 1.358161 20650.263597
122 15099.895020 5668.111893 20768.006913
161 18509.606690 2266.177354 20775.784045
176 21259.496063 13.198940 21272.695003
177 21333.292245 1.285975 21334.578220
164 19175.506450 2377.084656 21552.591106
178 21548.864636 5.341805 21554.206441
144 17305.920373 4385.095709 21691.016082
93 12971.660543 8831.044876 21802.705419
165 19539.629244 2294.844431 21834.473675
182 21886.962887 6.677510 21893.640397
183 21912.424979 6.425036 21918.850015
184 21954.752304 28.797343 21983.549647
186 22116.971510 8.918579 22125.890088
151 17874.729422 4411.592550 22286.321972
172 20236.303276 2202.860827 22439.164103
156 18165.764516 4526.410639 22692.175155
192 22805.660198 4.864324 22810.524523
157 18190.905652 4825.391355 23016.297007
193 23053.125402 2.323168 23055.448569
194 23135.664495 15.632031 23151.296525
174 20936.669403 2267.624628 23204.294032
97 13225.090025 10148.375750 23373.465775
195 23373.197284 48.405044 23421.602328
175 21186.223354 2400.589423 23586.812777
100 13350.204948 10325.193997 23675.398944
138 16874.522682 6855.731659 23730.254341
139 16931.570347 6849.866867 23781.437214
198 23776.163016 16.108746 23792.271762
107 13868.210744 10026.565867 23894.776611
179 21630.533471 2275.715964 23906.249435
180 21658.536592 2269.028452 23927.565044
199 24064.827534 3.402093 24068.229627
200 24078.597434 10.975459 24089.572893
170 20055.122145 4062.792778 24117.914922
187 22213.785478 2216.148055 24429.933532
188 22412.919625 2144.038680 24556.958305
189 22522.980869 2103.343645 24626.324514
190 22532.381056 2347.277378 24879.658433
152 17990.896789 7036.310761 25027.207551
201 25094.532678 50.950461 25145.483139
130 16322.682297 8845.508536 25168.190833
196 23437.784641 1863.349824 25301.134465
203 25325.632061 17.894936 25343.526997
205 25452.060080 1.080619 25453.140699
181 21867.262992 3711.777397 25579.040389
148 17777.918391 8041.314351 25819.232742
191 22639.257862 3334.265327 25973.523189
211 26093.385213 4.111966 26097.497179
214 26305.163524 11.000790 26316.164314
215 26403.623422 18.244817 26421.868238
197 23682.858300 2763.109442 26445.967742
218 26493.547804 1.754401 26495.302204
219 26590.497047 17.485721 26607.982768
222 26820.855375 11.646460 26832.501835
166 19793.231965 7125.460198 26918.692163
