# ID ArriveeSysteme TempsPresence SortieSysteme
1 241.583083 8.609410 250.192493
2 279.696627 3.560374 283.257000
3 290.348111 11.967748 302.315860
5 582.777072 30.694954 613.472026
4 561.595455 225.867295 787.462750
8 1091.408145 5.728156 1097.136300
6 725.875681 405.032458 1130.908139
7 1084.418307 210.835951 1295.254257
10 1700.179072 3.349605 1703.528677
9 1430.585941 313.498220 1744.084162
11 1956.289058 19.042599 1975.331656
13 1999.329285 15.394164 2014.723449
14 2044.340608 5.804409 2050.145017
15 2128.474962 15.687887 2144.162849
17 2156.700022 0.208622 2156.908644
19 2269.286726 19.062364 2288.349090
20 2320.799153 16.603099 2337.402252
21 2442.815566 7.279393 2450.094959
22 2556.854493 11.141610 2567.996103
16 2151.481788 549.177859 2700.659647
24 2778.036882 16.926637 2794.963519
25 2778.813245 18.667849 2797.481093
18 2248.517745 552.867145 2801.384890
26 2850.331413 6.662998 2856.994411
28 2942.510914 9.212445 2951.723360
29 2960.983924 6.989054 2967.972978
23 2575.913604 546.359308 3122.272912
33 3289.856173 15.778509 3305.634681
12 1982.154090 1443.678768 3425.832858
27 2888.156977 605.841184 3493.998161
35 3520.308973 0.107534 3520.416507
37 3758.186784 16.443240 3774.630024
38 3796.259986 2.601059 3798.861044
39 3834.818909 25.768288 3860.587198
42 3987.012635 30.710239 4017.722875
32 3258.866301 785.478152 4044.344454
34 3301.608952 759.828628 4061.437580
30 2983.587777 1100.878578 4084.466355
45 4261.660060 26.656700 4288.316760
40 3913.775877 683.622506 4597.398383
41 3919.052052 824.115729 4743.167781
46 4774.646961 1.658740 4776.305701
48 4865.022958 18.128116 4883.151075
44 4176.196895 711.958050 4888.154946
49 5081.451026 9.339950 5090.790976
36 3650.197330 1618.846841 5269.044171
43 4156.682248 1143.152733 5299.834980
50 5110.300481 249.175301 5359.475782
53 5354.957805 19.409815 5374.367620
31 3187.878673 2188.579698 5376.458370
47 4807.076103 571.742104 5378.818207
58 5706.248974 4.866136 5711.115110
59 5870.038914 6.166029 5876.204942
60 5881.012100 14.293493 5895.305593
61 5907.192370 4.377958 5911.570328
52 5331.280519 657.124330 5988.404849
63 6077.344195 33.485624 6110.829819
55 5470.939212 681.178822 6152.118033
64 6207.877997 15.172375 6223.050371
65 6338.190366 7.370437 6345.560803
70 6663.219273 10.688910 6673.908182
73 6722.763493 3.431449 6726.194942
74 6763.106877 4.487233 6767.594110
62 5908.249876 1254.952338 7163.202214
51 5327.403881 1925.121306 7252.525186
81 7496.935214 1.968142 7498.903357
67 6474.195554 1225.143919 7699.339472
84 7748.319919 17.884826 7766.204744
85 7787.110356 6.233152 7793.343508
86 7958.500293 16.469709 7974.970003
75 6926.199486 1616.871391 8543.070877
57 5622.057958 2943.814538 8565.872496
92 8656.295778 0.457122 8656.752900
78 7031.310237 1859.284238 8890.594475
79 7089.470647 1824.369688 8913.840335
93 8967.227723 13.235747 8980.463470
56 5529.196188 3512.421413 9041.617601
66 6466.972224 2640.727285 9107.699509
82 7561.424797 1572.898403 9134.323200
83 7694.837377 1441.273419 9136.110796
