# ID ArriveeSysteme TempsPresence SortieSysteme
1 337.932933 234.482002 572.414935
3 1497.157157 689.368480 2186.525637
2 879.356041 1558.653305 2438.009346
4 3258.948274 166.467428 3425.415702
5 3393.663791 49.732244 3443.396035
7 4561.284637 23.980911 4585.265548
6 4442.192029 206.096797 4648.288825
8 5509.828019 566.793116 6076.621135
9 6077.253084 19.594376 6096.847460
11 6135.630367 221.631955 6357.262322
12 6350.144305 8.063502 6358.207807
13 6383.191112 0.776269 6383.967381
10 6099.408759 671.547103 6770.955861
14 6928.014337 6.135045 6934.149381
15 7487.968220 424.626823 7912.595043
17 8152.106966 0.753928 8152.860893
16 7863.412742 372.602223 8236.014965
19 8362.725017 288.120340 8650.845357
21 8799.028914 16.162203 8815.191117
18 8162.713462 856.309951 9019.023414
20 8367.830257 818.300498 9186.130754
22 9695.435909 215.963988 9911.399897
23 9963.648220 57.886976 10021.535197
24 10494.974936 16.510897 10511.485833
25 11528.018535 247.406573 11775.425108
26 12270.062423 11.935608 12281.998032
27 12452.407480 5.841457 12458.248937
30 12759.344904 5.860662 12765.205566
28 12549.365789 538.992995 13088.358783
29 12753.727438 376.934492 13130.661931
31 14283.630608 97.886411 14381.517019
32 14740.812648 1.162108 14741.974756
33 14824.295422 2.344921 14826.640344
34 14907.526754 364.770537 15272.297290
35 15469.813763 165.033565 15634.847328
36 16028.032004 7.403990 16035.435994
37 16071.128651 2.757292 16073.885943
38 16737.982199 4.914913 16742.897112
40 16781.485783 2.727313 16784.213096
39 16754.379359 49.455947 16803.835306
41 16944.432891 88.485049 17032.917940
42 17137.334472 8.139504 17145.473976
44 19533.057738 4.374301 19537.432040
43 19362.599312 854.220304 20216.819617
45 20559.832328 271.848627 20831.680955
46 20827.940132 268.869672 21096.809804
47 21425.775097 318.205478 21743.980575
48 23093.085148 5.198734 23098.283881
49 23691.384125 7.959184 23699.343310
50 23726.322720 14.076517 23740.399237
51 24701.649406 247.651440 24949.300846
52 25164.927198 68.308337 25233.235534
53 25238.430846 8.930551 25247.361397
54 25521.137118 18.120782 25539.257900
55 26094.231390 41.371901 26135.603291
56 26400.678430 343.997950 26744.676379
57 28673.917780 4.056288 28677.974068
58 29484.652024 3.443038 29488.095062
59 29808.264600 13.864777 29822.129377
60 29841.545962 1.043426 29842.589388
61 29914.685052 106.317405 30021.002457
62 30036.313272 95.822228 30132.135500
63 30239.242652 19.738809 30258.981461
64 30921.177545 203.747953 31124.925498
65 30943.103851 189.676421 31132.780272
66 31168.377640 5.304736 31173.682377
67 31264.490287 188.426901 31452.917188
69 31470.442481 10.051760 31480.494241
68 31455.552046 158.988092 31614.540139
70 33994.190042 2.533847 33996.723889
71 34016.907600 21.854474 34038.762074
72 35149.709333 34.119686 35183.829019
73 35292.024493 68.349173 35360.373666
74 35411.929697 5.851720 35417.781416
75 35793.869446 422.331531 36216.200977
76 37141.314965 14.759657 37156.074622
77 37637.253255 106.277326 37743.530582
78 37924.979307 8.470669 37933.449976
79 38715.105074 5.425459 38720.530533
80 39966.460479 98.187160 40064.647639
81 40028.479457 86.025723 40114.505180
82 40737.681642 166.418875 40904.100517
83 41166.661528 6.056046 41172.717575
84 41175.016690 0.717459 41175.734149
87 42025.964219 30.412698 42056.376916
85 41487.449557 602.061344 42089.510901
86 41725.299731 622.777114 42348.076844
88 42703.595911 3.661119 42707.257030
89 43128.268021 5.056822 43133.324843
91 43515.083113 20.317831 43535.400944
90 43329.237381 329.285897 43658.523278
92 44226.232345 96.030525 44322.262870
93 45115.845285 5.693951 45121.539236
94 45567.140967 3.448630 45570.589598
95 45894.745111 100.549349 45995.294461
96 46023.539077 144.147258 46167.686335
97 46832.262095 63.063281 46895.325376
98 48132.956245 14.879953 48147.836198
100 48763.069034 19.117169 48782.186204
