# ID ArriveeSysteme TempsPresence SortieSysteme
1 913.565748 11.429085 924.994833
4 2151.350449 8.122271 2159.472720
5 2317.030025 1.030120 2318.060144
3 1885.732523 997.301538 2883.034061
2 1356.371365 1542.495581 2898.866945
6 3235.408503 40.256844 3275.665347
7 3248.758716 28.587075 3277.345791
8 3449.501159 0.982096 3450.483255
9 3672.522331 142.531698 3815.054030
10 3848.007621 417.020252 4265.027873
14 4828.787849 4.732068 4833.519917
12 4650.536219 319.327403 4969.863622
13 4781.590208 226.701154 5008.291361
11 3874.813947 1158.689587 5033.503533
15 5478.336100 45.599973 5523.936074
16 5572.561659 3.605273 5576.166932
17 5948.860511 28.786839 5977.647350
18 6040.103271 872.349174 6912.452445
20 8367.460372 2.748648 8370.209020
19 8154.008798 396.633563 8550.642361
21 8437.505234 357.902479 8795.407713
22 8870.313740 8.515823 8878.829563
23 9103.231095 25.476630 9128.707725
24 9227.614642 92.053538 9319.668181
26 9721.284857 10.161989 9731.446846
25 9687.426464 213.350124 9900.776587
27 10240.111702 86.155787 10326.267489
28 10443.323933 133.894720 10577.218653
30 11082.813115 0.162819 11082.975934
31 11128.154982 22.898446 11151.053428
32 11317.660444 7.631086 11325.291530
33 11429.595525 5.231018 11434.826544
29 10581.078675 1136.517846 11717.596521
35 12474.836950 4.334917 12479.171867
34 12188.141282 1141.320896 13329.462178
36 12895.011098 858.345086 13753.356184
37 14697.072856 7.402677 14704.475533
38 15283.582779 174.513540 15458.096319
40 15737.493680 52.463295 15789.956976
41 15747.315047 245.729368 15993.044415
42 16311.018360 16.344983 16327.363343
39 15382.526551 971.090232 16353.616783
44 16620.739990 10.396119 16631.136110
43 16445.943556 255.725098 16701.668654
47 17387.661796 487.401083 17875.062879
48 17872.408728 11.700221 17884.108949
45 16822.734756 1399.920076 18222.654832
49 18613.565898 12.941739 18626.507637
46 17264.561808 1380.524313 18645.086121
50 19253.203254 6.410464 19259.613718
51 19366.257146 316.420933 19682.678079
53 20169.757301 51.475061 20221.232362
54 20851.190091 28.742856 20879.932948
52 19721.012942 1270.997193 20992.010135
56 22821.480143 30.253314 22851.733457
55 22599.389880 733.677302 23333.067182
57 22990.266782 1147.698676 24137.965458
58 24226.191692 47.502462 24273.694154
59 24307.809403 63.726351 24371.535754
60 24504.387149 0.320769 24504.707918
61 24639.131781 21.148259 24660.280041
63 25351.177115 11.017811 25362.194927
65 25656.602663 11.197036 25667.799699
62 25297.549342 508.991136 25806.540478
64 25420.817104 399.847261 25820.664365
66 25859.739340 2.260724 25862.000064
67 26046.574648 3.065660 26049.640308
68 26097.420956 12.429477 26109.850434
69 26239.544148 19.952390 26259.496538
70 26629.032125 30.965381 26659.997506
