# ID ArriveeSysteme TempsPresence SortieSysteme
1 381,663771 2,587793 384,251564
2 702,391943 374,617179 1077,009121
3 1302,379019 13,954606 1316,333625
4 3033,037519 23,634934 3056,672453
5 3532,870749 7,073516 3539,944266
6 3651,008364 90,228910 3741,237274
7 3918,586145 8,631855 3927,218000
8 5480,057812 4,276571 5484,334382
9 6559,562391 5,090927 6564,653317
10 7948,989832 13,506818 7962,496649
12 8669,023465 19,979786 8689,003251
13 8696,002069 0,332783 8696,334852
14 9119,309393 3,406232 9122,715625
15 9503,795085 3,284664 9507,079749
16 10662,046278 5,634563 10667,680842
11 8153,196326 2636,282136 10789,478461
18 11296,122562 1,699288 11297,821850
17 11182,557995 586,368926 11768,926921
19 13083,281499 337,007834 13420,289333
20 14181,619900 77,795476 14259,415377
21 14465,585259 15,586292 14481,171551
22 14883,969593 6,787028 14890,756621
24 16898,517609 6,623635 16905,141243
26 17461,606849 15,210964 17476,817813
27 17577,328389 4,640429 17581,968818
28 17602,838392 5,173256 17608,011647
29 17988,738496 5,970300 17994,708796
30 18791,816918 0,960486 18792,777405
31 19082,510199 9,776625 19092,286824
23 15021,780130 4873,923223 19895,703353
32 20393,382918 1,774151 20395,157070
25 17049,626155 3580,733503 20630,359658
34 20777,555667 8,031992 20785,587659
35 20785,844114 63,492474 20849,336588
37 21174,021527 13,010757 21187,032284
36 20868,086670 1189,059300 22057,145971
33 20510,485043 1654,385110 22164,870153
39 22248,812756 27,292454 22276,105210
40 22295,975491 10,036819 22306,012310
38 22225,335536 813,434796 23038,770332
43 23215,760819 2,315274 23218,076093
44 23354,535931 4,697011 23359,232942
46 23455,021905 6,685794 23461,707700
41 22308,939623 1178,154874 23487,094498
42 23176,267560 612,751485 23789,019045
45 23421,959910 652,734982 24074,694892
50 25082,804630 0,443297 25083,247927
47 23940,985611 2138,780172 26079,765783
51 26434,042909 19,655472 26453,698380
48 24161,654124 2337,315041 26498,969166
49 24387,451396 2306,283896 26693,735293
52 27055,621909 7,799826 27063,421735
56 28029,632862 2,925285 28032,558147
55 27785,993619 466,092244 28252,085863
57 28683,741130 43,985511 28727,726641
58 29647,968361 156,703230 29804,671591
