# ID ArriveeSysteme TempsPresence SortieSysteme
1 468.657247 6.594599 475.251846
2 624.416241 9.548191 633.964432
3 1531.397897 10.977091 1542.374988
4 1723.605666 367.865852 2091.471518
5 2452.409291 15.825337 2468.234628
6 3273.057058 358.922817 3631.979875
7 4102.089267 101.526349 4203.615616
8 4803.892404 819.909482 5623.801886
10 5829.896741 183.593260 6013.490000
9 5617.236759 644.353947 6261.590706
11 7836.765424 1.829270 7838.594694
12 7901.656079 40.948768 7942.604847
13 8192.181457 362.581117 8554.762575
15 8369.732638 250.179676 8619.912314
14 8231.868235 455.927987 8687.796222
16 8862.270981 23.743874 8886.014855
17 8907.092411 0.557586 8907.649997
18 8910.074059 38.396970 8948.471028
19 11128.995771 18.639293 11147.635064
21 12368.756426 111.376832 12480.133257
20 12020.997804 1007.438052 13028.435856
22 12872.055082 425.474423 13297.529505
23 13007.355380 486.692450 13494.047830
25 14514.386271 0.671726 14515.057997
26 15111.876337 0.614680 15112.491017
24 14121.185211 1007.846400 15129.031612
27 15212.959137 8.357920 15221.317057
28 16451.246818 9.433326 16460.680144
29 16598.404001 27.751918 16626.155919
30 17363.539956 15.096394 17378.636350
31 17927.628183 1.042395 17928.670578
32 18389.266216 484.501070 18873.767286
34 20117.095366 8.162982 20125.258348
35 20306.518481 0.174824 20306.693305
33 19354.406841 1312.492301 20666.899142
36 20954.840998 0.232413 20955.073411
38 21220.359688 41.429319 21261.789007
37 20977.615826 383.064688 21360.680514
39 22370.614196 1.965965 22372.580162
41 24216.374640 2.251858 24218.626498
42 24255.006462 282.767237 24537.773699
43 25276.797256 5.762102 25282.559359
44 25341.112917 102.480662 25443.593579
40 22912.979894 2540.732737 25453.712631
45 25950.154493 20.681609 25970.836102
46 26061.720988 23.529607 26085.250595
47 26306.849011 2.540477 26309.389488
48 26632.655448 12.454058 26645.109506
49 27849.266687 262.732067 28111.998754
50 28780.446378 2.503805 28782.950183
51 28846.376241 15.025599 28861.401840
53 29425.022650 0.191633 29425.214283
52 29264.076375 499.328109 29763.404483
54 29831.003359 480.477510 30311.480869
55 30992.500439 15.149113 31007.649552
58 32272.193340 30.072404 32302.265744
59 32392.158658 353.898777 32746.057435
57 32250.610843 930.981825 33181.592668
60 33197.176490 7.264981 33204.441471
61 33486.255935 24.285435 33510.541370
62 33497.801695 14.291264 33512.092959
56 32020.564867 1571.042390 33591.607257
64 33725.312670 3.394314 33728.706984
66 33901.208872 13.402838 33914.611710
63 33671.417586 666.108536 34337.526122
67 34308.116341 376.954178 34685.070519
68 34688.582831 113.567007 34802.149838
65 33784.762596 1417.257004 35202.019600
70 35930.430690 10.786442 35941.217132
72 36598.106291 14.007294 36612.113585
71 36065.147338 688.786690 36753.934028
69 35520.821490 1524.634219 37045.455709
73 37091.326363 0.132501 37091.458863
74 37610.013557 7.748303 37617.761859
76 37912.693741 0.604439 37913.298180
75 37758.426389 273.998827 38032.425216
77 38140.807465 1009.637872 39150.445337
78 39511.148432 2.368096 39513.516528
81 40120.926241 7.984163 40128.910404
82 40154.946409 0.428523 40155.374932
80 40046.978427 154.040999 40201.019426
83 41721.530703 527.317882 42248.848585
79 39685.650587 2750.690437 42436.341024
84 42671.760197 9.687778 42681.447975
85 42950.183709 755.411853 43705.595562
87 43526.889584 694.221847 44221.111431
88 44124.729879 195.517671 44320.247549
86 43335.394196 1373.058992 44708.453188
89 46167.413917 71.677279 46239.091196
90 46958.445581 2.382200 46960.827782
91 47188.369033 66.235140 47254.604173
92 47280.847912 442.314601 47723.162512
93 48990.290760 988.720579 49979.011339
