ID;ArriveeSysteme;TempsPresence;SortieSysteme
1;43,5962;1,5119;45,1082
2;820,4571;3,5161;823,9732
5;1257,7202;14,0557;1271,7759
3;1090,7698;259,3167;1350,0865
4;1123,7535;520,8108;1644,5643
6;1741,4079;25,6523;1767,0602
7;2664,0748;12,2740;2676,3488
8;2691,3001;9,1669;2700,4670
9;2928,5394;29,7434;2958,2828
10;2935,9868;102,3969;3038,3837
11;3285,1588;2,6717;3287,8305
15;4098,1625;12,4950;4110,6575
16;4120,7603;3,7555;4124,5159
14;4008,4431;166,7822;4175,2253
13;3744,6520;443,4268;4188,0787
12;3570,5483;748,9568;4319,5050
17;5899,7349;156,0568;6055,7917
18;6351,0453;61,9610;6413,0063
19;6420,6557;385,5837;6806,2394
21;7001,4539;126,7761;7128,2300
20;6913,5974;267,7246;7181,3220
22;7349,3463;60,0155;7409,3618
23;8735,1773;10,2028;8745,3801
24;9037,6529;386,8230;9424,4759
25;10557,7677;227,7238;10785,4915
26;11104,8840;223,9746;11328,8586
27;11331,5199;14,9042;11346,4241
28;11858,7570;11,1324;11869,8895
29;12001,4165;853,6352;12855,0517
31;13096,3819;6,5580;13102,9399
32;13239,0398;6,6500;13245,6898
30;12996,7830;344,4589;13341,2419
34;13604,0169;17,6411;13621,6580
33;13476,7792;258,7853;13735,5645
36;14991,9723;0,1438;14992,1161
37;15100,7425;1,5928;15102,3353
35;14668,0670;868,7855;15536,8525
38;15687,7341;1,7324;15689,4666
39;15916,5443;8,0370;15924,5813
40;15969,6979;26,8385;15996,5364
41;16350,1350;1,2651;16351,4000
42;17881,0376;1,6848;17882,7224
43;18464,2244;50,5046;18514,7290
44;19020,2395;3,3213;19023,5608
45;19438,6269;136,0246;19574,6515
48;20225,7214;20,0718;20245,7933
47;20198,5524;78,3037;20276,8561
46;19856,2088;442,1823;20298,3911
49;20951,7558;1,1267;20952,8825
50;22141,4607;8,5522;22150,0129
51;22445,5278;1,0438;22446,5716
52;22521,8732;20,2664;22542,1396
53;22579,3299;7,6704;22587,0003
54;22643,1322;16,5601;22659,6923
56;23277,6376;1,4927;23279,1303
57;23597,2753;25,9030;23623,1783
58;23708,2720;1,3333;23709,6054
59;23733,6493;197,8367;23931,4859
60;24399,2773;23,6103;24422,8876
55;22927,3233;1598,2451;24525,5684
61;24551,3339;181,4210;24732,7549
62;24772,9999;8,9826;24781,9825
63;24950,8869;79,5414;25030,4284
64;26714,9754;43,8868;26758,8623
65;27312,5581;4,0401;27316,5983
66;27610,6586;128,0040;27738,6626
67;28095,0662;3,2798;28098,3460
68;28468,7651;6,8174;28475,5825
69;29203,1116;175,8803;29378,9919
71;29716,0148;1,8107;29717,8256
70;29705,9027;209,9724;29915,8751
