# ID ArriveeSysteme TempsPresence SortieSysteme
1 311.119712 7.140651 318.260363
2 315.366462 7.629385 322.995847
3 407.962043 6.867714 414.829757
5 670.477419 0.347302 670.824721
4 606.804548 282.204171 889.008719
7 903.456383 15.250930 918.707313
6 898.846862 183.362925 1082.209787
9 1162.410130 4.191171 1166.601301
8 1157.968454 16.538223 1174.506677
10 1234.722729 1.779217 1236.501946
11 1276.806220 11.177102 1287.983322
12 1391.571107 335.586595 1727.157702
13 1532.742684 249.671892 1782.414577
15 1864.150979 17.952351 1882.103329
16 1901.873638 9.829035 1911.702672
17 1908.285460 4.784961 1913.070422
14 1759.139214 231.514985 1990.654199
18 1948.707371 441.938894 2390.646265
20 2502.874044 3.535713 2506.409757
19 2317.113442 230.876860 2547.990302
21 2815.545556 8.262958 2823.808514
22 2879.688760 11.091955 2890.780714
23 3017.304290 34.440992 3051.745282
26 3249.160328 10.166291 3259.326619
25 3187.192097 174.493550 3361.685647
27 3502.501693 9.589552 3512.091245
28 3641.745085 37.542871 3679.287956
29 3726.465671 3.365984 3729.831655
30 3733.986179 64.286002 3798.272181
33 4019.227562 4.589339 4023.816902
34 4223.264823 33.247123 4256.511946
31 3797.712634 704.346367 4502.059001
36 4896.039676 2.580694 4898.620370
37 5189.693747 4.163438 5193.857185
32 3934.550883 1373.761872 5308.312755
35 4245.542357 1077.724235 5323.266592
24 3184.294945 2158.476118 5342.771064
38 5342.505090 28.287944 5370.793034
39 5678.684443 0.053230 5678.737673
40 5802.899230 8.142715 5811.041945
41 5858.338741 7.172450 5865.511192
42 5913.154117 1.840498 5914.994614
43 6092.634356 285.816055 6378.450411
47 6388.756496 16.979714 6405.736209
45 6344.018522 73.038348 6417.056870
44 6252.777755 401.265962 6654.043716
49 6655.562830 9.123240 6664.686070
50 6796.018226 7.293676 6803.311902
46 6368.621184 668.348624 7036.969808
48 6562.964443 482.361308 7045.325751
53 7481.496975 10.843146 7492.340121
54 7775.779426 8.764435 7784.543861
55 8038.609747 14.965803 8053.575551
52 7057.530264 1073.559441 8131.089705
58 8242.490784 23.895618 8266.386402
59 8275.870084 22.357866 8298.227950
61 8573.665830 10.956895 8584.622726
62 8593.528811 7.632576 8601.161387
56 8050.549913 586.674379 8637.224292
63 8649.795363 0.956195 8650.751558
57 8113.207788 911.903365 9025.111153
66 9257.940401 18.623152 9276.563554
60 8552.363812 761.654761 9314.018572
67 9427.856688 24.032548 9451.889236
64 9067.786464 433.169604 9500.956068
51 6867.880969 2670.273661 9538.154629
68 9564.741680 69.678397 9634.420077
65 9211.783617 610.020330 9821.803947
70 9834.894051 7.565986 9842.460037
69 9829.253635 34.608225 9863.861860
71 9861.036377 13.962419 9874.998796
72 10229.440937 5.217863 10234.658800
73 10251.124133 4.971021 10256.095154
74 10305.633281 93.545127 10399.178408
75 10548.416746 27.572811 10575.989557
76 10575.746515 45.465525 10621.212040
77 10658.857785 82.778772 10741.636557
79 11033.731679 4.855724 11038.587403
80 11084.316540 1.337747 11085.654287
78 10857.589067 291.983791 11149.572858
81 11277.021488 8.799248 11285.820736
82 11336.747013 175.963452 11512.710465
83 11588.652034 13.877286 11602.529320
84 11635.576632 7.582031 11643.158663
87 11802.277149 1.526069 11803.803217
85 11712.379831 97.597365 11809.977196
92 11939.194597 33.595432 11972.790030
93 11995.842429 30.677290 12026.519720
86 11713.498934 459.243950 12172.742884
90 11911.050069 362.670407 12273.720475
96 12435.080419 4.213234 12439.293653
97 12527.615745 4.199482 12531.815227
98 12547.513180 5.716456 12553.229636
100 13209.705391 27.553106 13237.258497
101 13372.220260 362.161692 13734.381952
89 11890.161564 2340.966001 14231.127565
105 14531.975680 10.383241 14542.358921
106 14555.063500 6.027535 14561.091034
107 14603.533828 4.998011 14608.531838
91 11915.662732 2961.312880 14876.975611
95 12283.800298 3234.594037 15518.394335
108 14722.933213 1028.719024 15751.652237
116 15877.365061 3.184389 15880.549451
115 15841.882034 91.750080 15933.632114
88 11870.057163 4214.668874 16084.726037
117 16139.444829 28.676025 16168.120855
119 16486.230882 92.554240 16578.785122
121 16820.208601 16.027796 16836.236397
122 16929.389534 7.772625 16937.162159
123 16977.313001 16.560020 16993.873021
125 17037.708447 4.420914 17042.129361
102 13539.957852 3603.609552 17143.567404
127 17176.870157 7.665267 17184.535424
128 17264.202122 10.830548 17275.032670
130 17428.212305 20.102942 17448.315247
103 14043.739306 3473.549994 17517.289299
131 17872.491090 10.190328 17882.681418
111 15118.968164 3133.220166 18252.188330
136 18379.456378 35.283514 18414.739892
94 12157.844527 6277.325406 18435.169932
113 15584.666053 3100.538947 18685.205000
137 18691.308492 27.232256 18718.540747
114 15665.701071 3154.073558 18819.774629
134 18107.324399 763.182681 18870.507080
139 18835.935705 42.301541 18878.237245
140 18892.835712 2.157954 18894.993666
142 19048.464495 17.832697 19066.297191
110 14999.880927 4089.711721 19089.592649
144 19309.973637 2.449182 19312.422819
145 19326.280454 12.360549 19338.641003
146 19353.626132 63.020441 19416.646573
