ID;ArriveeSysteme;TempsPresence;SortieSysteme
2;1843,2266;25,5929;1868,8195
3;1900,6249;10,8546;1911,4795
4;1955,3856;4,4640;1959,8496
5;2073,1762;25,8055;2098,9817
1;1422,5914;942,9127;2365,5040
6;2470,5937;4,3549;2474,9487
9;3038,2967;1,6606;3039,9573
11;3158,3951;9,2811;3167,6763
12;3178,0340;0,7728;3178,8068
13;3379,6513;5,5951;3385,2464
14;3423,0897;14,4148;3437,5045
10;3133,9592;344,3100;3478,2691
7;2876,0914;773,0918;3649,1832
16;3799,1694;22,8326;3822,0020
8;3028,8984;1078,1681;4107,0665
15;3449,1037;707,3726;4156,4763
17;4304,6998;247,8492;4552,5489
18;4314,8613;290,6122;4605,4735
19;4675,2079;19,1357;4694,3436
20;4955,6028;66,8420;5022,4448
21;5459,0739;2,0763;5461,1502
22;5810,6961;223,8395;6034,5356
23;6347,6163;4,2107;6351,8270
24;6693,3874;1,8806;6695,2680
25;8219,2976;476,0040;8695,3016
26;8804,4835;118,7963;8923,2798
27;8950,3897;140,8105;9091,2002
28;8996,4542;1043,6935;10040,1477
29;10042,4705;0,2741;10042,7445
31;10634,2751;11,3496;10645,6247
30;10141,9724;611,1993;10753,1716
32;10950,5952;1,5849;10952,1801
33;11200,3995;309,3591;11509,7587
34;11613,9227;36,4406;11650,3633
36;13017,8617;135,2710;13153,1327
35;12671,4536;550,2608;13221,7144
38;13391,3906;1,3274;13392,7179
37;13180,2570;981,8446;14162,1017
39;14486,3053;0,4203;14486,7256
41;15452,4682;105,5037;15557,9719
42;16186,1080;6,4296;16192,5376
40;15410,9370;990,3943;16401,3313
43;16942,5217;1,7401;16944,2618
44;17029,7627;62,3584;17092,1211
45;17908,2690;242,4638;18150,7328
46;18371,9268;31,3826;18403,3094
47;18935,6079;41,0735;18976,6814
48;19719,7689;90,9416;19810,7106
49;20322,1708;12,0463;20334,2171
50;20565,8544;25,3275;20591,1819
51;20826,4084;3,1259;20829,5343
52;20932,2272;80,7699;21012,9971
53;21814,3674;3,6878;21818,0552
54;22217,6207;192,8981;22410,5187
56;22665,5108;82,3744;22747,8851
55;22641,6924;134,1430;22775,8353
57;23430,9349;155,4668;23586,4017
58;24270,9772;624,6168;24895,5941
59;25617,2404;26,4595;25643,6999
60;25685,3969;944,5890;26629,9859
63;26911,0213;1,4431;26912,4644
62;26718,6858;241,0166;26959,7025
64;26998,8565;17,0811;27015,9376
61;26125,6701;1055,2182;27180,8883
65;27834,6584;718,6097;28553,2681
66;28670,3580;5,4870;28675,8450
67;28711,8376;15,1405;28726,9781
68;29485,3765;87,5423;29572,9188
69;29679,9589;17,8982;29697,8571
